,,,
,"Indoor air pollution death rate
deaths per 100,000 people","Share of population with access to clean fuels for cooking
percent",World region according to OWID
Great Colombia,,,South America
Greece,0.1,100.00%,Europe
Greenland,0,,North America
Grenada,4.3,86.30%,North America
Guadeloupe,,,North America
Guam,2.9,,Oceania
Guatemala,67.6,44.80%,North America
Guernsey,,,Europe
Guinea,173.5,1.00%,Africa
Guinea-Bissau,192.4,0.95%,Africa
Guyana,6.4,100.00%,South America
Haiti,251.8,4.40%,North America
High-income countries,0.4,,
Honduras,79.4,49.30%,North America
Hong Kong,,,Asia
Hungary,4.6,100.00%,Europe
Iceland,0.1,100.00%,Europe
India,89.5,70.20%,Asia
Indonesia,30,86.90%,Asia
Iran,0.2,96.20%,Asia
Iraq,1.5,99.40%,Asia
Ireland,0.1,100.00%,Europe
Isle of Man,,,Europe
Israel,0.1,100.00%,Asia
Italy,0.2,100.00%,Europe
Jamaica,10.1,92.80%,North America
Japan,0.1,100.00%,Asia
Jersey,,,Europe
Jordan,0.1,99.60%,Asia
Kazakhstan,3.1,94.20%,Asia
Kenya,93.2,25.80%,Africa
Kingdom of Bavaria,,,Europe
Kingdom of Sardinia,,,Europe
Kingdom of Saxony,,,Europe
Kingdom of Wurttemberg,,,Europe
Kingdom of the Two Sicilies,,,Europe
Kiribati,98,13.30%,Oceania
Korea (former),,,Asia
Kosovo,,,Europe
Kuwait,0.1,100.00%,Asia
Kyrgyzstan,87,78.90%,Asia
Laos,202.5,9.60%,Asia
Latin America and Caribbean (WB),8.9,,
Latin America and the Caribbean (UN),,88.55%,
Latvia,4.2,100.00%,Europe
Lebanon,0.8,,Asia
Lesotho,131.1,49.80%,Africa
Liberia,170.9,0.70%,Africa
Libya,0.2,,Africa
Liechtenstein,,,Europe
Lithuania,1.5,100.00%,Europe
Low-income countries,145.6,,
Lower-middle-income countries,93.4,,
Luxembourg,0.1,100.00%,Europe
Macao,,,Asia
Madagascar,191.9,1.40%,Africa
Malawi,157.6,1.70%,Africa
Malaysia,0.3,86.40%,Asia
Maldives,5.8,99.70%,Asia
Mali,128.3,1.20%,Africa
Malta,0.2,100.00%,Europe
Marshall Islands,144.5,64.90%,Oceania
Martinique,,,North America
Mauritania,88.2,48.10%,Africa
Mauritius,0.7,99.00%,Africa
Mayotte,,,Africa
Mexico,5.4,85.05%,North America
Micronesia (country),153.9,13.30%,Oceania
Middle East and North Africa (WB),8.1,,
Moldova,20.4,98.10%,Europe
Monaco,0.1,100.00%,Europe
Mongolia,44.9,53.10%,Asia
Montenegro,20.2,61.70%,Europe
Montserrat,,,North America
Morocco,6,98.10%,Africa
Mozambique,122.1,6.50%,Africa
Myanmar,207.9,44.50%,Asia
Namibia,54.1,47.50%,Africa
Nauru,30.2,100.00%,Oceania
Nepal,117.4,39.90%,Asia
Netherlands,0.1,100.00%,Europe
Netherlands Antilles,,,North America
New Caledonia,,,Oceania
New Zealand,0,100.00%,Oceania
Nicaragua,81,57.70%,North America
Niger,172.6,4.10%,Africa
Nigeria,86.7,21.85%,Africa
Niue,9.3,98.50%,Oceania
Norfolk Island,,,Oceania
North America (WB),0.1,,
North Korea,192.3,13.10%,Asia
North Macedonia,14.5,79.60%,Europe
Northern Africa (UN),,92.54%,
Northern Africa and Western Asia (UN),,91.24%,
Northern America and Europe (UN),,99.39%,
Northern Mariana Islands,6.9,,Oceania
Norway,0.1,100.00%,Europe
Oceania (exc. Australia and New Zealand) (UN),,14.81%,
Oman,0.1,100.00%,Asia
Orange Free State,,,Africa
Pakistan,101,51.30%,Asia
Pakistan (former),,,Asia
Palau,2.7,100.00%,Oceania
Palestine,4.6,,Asia
Panama,1.9,100.00%,North America
Papua New Guinea,244.6,9.90%,Oceania
Paraguay,31.8,70.20%,South America
Peru,8.9,88.40%,South America
Philippines,90.6,55.60%,Asia
Pitcairn,,,Oceania
Poland,1,100.00%,Europe
Portugal,0.1,100.00%,Europe
Puerto Rico,0,,North America
Qatar,0,100.00%,Asia
Republic of Vietnam,,,Asia
Reunion,,,Africa
Romania,4.1,100.00%,Europe
Russia,0.9,100.00%,Europe
Rwanda,134.5,5.70%,Africa
Saint Barthelemy,,,North America
Saint Helena,,,Africa
Saint Kitts and Nevis,0.5,100.00%,North America
Saint Lucia,2.2,93.00%,North America
Saint Martin (French part),,,North America
Saint Pierre and Miquelon,,,North America
Saint Vincent and the Grenadines,3.3,90.80%,North America
Samoa,129,37.80%,Oceania
San Marino,0.1,100.00%,Europe
Sao Tome and Principe,89.2,3.90%,Africa
Saudi Arabia,0.2,100.00%,Asia
Senegal,111.9,32.10%,Africa
Serbia,20.3,81.10%,Europe
Serbia and Montenegro,,,Europe
Seychelles,0.2,100.00%,Africa
Sierra Leone,176.1,0.80%,Africa
Singapore,0.2,100.00%,Asia
Sint Maarten (Dutch part),,,North America
Slovakia,0.2,100.00%,Europe
Slovenia,0.7,100.00%,Europe
Solomon Islands,392.8,8.60%,Oceania
Somalia,112.7,4.30%,Africa
South Africa,12.4,88.70%,Africa
South Asia (WB),99,,
South Georgia and the South Sandwich Islands,,,South America
South Korea,0.1,100.00%,Asia
South Sudan,170.4,0.00%,Africa
South-East Asia (WHO),95,67.04%,
South-Eastern Asia (UN),,77.08%,
Southern Asia (UN),,63.60%,
Spain,0.1,100.00%,Europe
Sri Lanka,39.3,33.20%,Asia
Sub-Saharan Africa (UN),,19.28%,
Sub-Saharan Africa (WB),109.2,,
Sudan,110.3,65.70%,Africa
Sudan (former),,,Africa
Suriname,5.8,95.10%,South America
Sweden,0,100.00%,Europe
Switzerland,0,100.00%,Europe
Syria,0.7,91.10%,Asia
Taiwan,2.4,,Asia
Tajikistan,115.7,85.80%,Asia
Tanzania,117.8,7.80%,Africa
Thailand,4.6,85.20%,Asia
Togo,139.3,11.40%,Africa
Tokelau,2.7,,Oceania
Tonga,109.5,87.00%,Oceania
Trinidad and Tobago,0,100.00%,North America
Tunisia,0.6,99.90%,Africa
Turkey,0.7,95.30%,Asia
Turkmenistan,0.1,99.90%,Asia
Turks and Caicos Islands,,,North America
Tuvalu,58,76.40%,Oceania
USSR,,,Europe
Uganda,102,1.50%,Africa
Ukraine,6.6,95.10%,Europe
United Arab Emirates,0,100.00%,Asia
United Kingdom,0.1,100.00%,Europe
United States,0.1,100.00%,North America
United States Virgin Islands,0.1,,North America
Upper-middle-income countries,15.5,,
Uruguay,0.7,100.00%,South America
Uzbekistan,32.5,79.80%,Asia
Vanuatu,223.8,18.10%,Oceania
Vatican,,,Europe
Venezuela,2.6,94.40%,South America
Vietnam,39.4,97.20%,Asia
Wallis and Futuna,,,Oceania
West Germany,,,Europe
Western Asia (UN),,90.31%,
Western Pacific (WHO),20.2,84.66%,
Western Sahara,,,Africa
World,36.2,72.06%,
Yemen,163.6,50.10%,Asia
Yemen Arab Republic,,,Asia
Yemen People's Republic,,,Asia
Yugoslavia,,,Europe
Zambia,156.5,10.20%,Africa
Zimbabwe,109,30.30%,Africa
