,,,
,"Indoor air pollution death rate
deaths per 100,000 people","Share of population with access to clean fuels for cooking
percent",World region according to OWID
Isle of Man,,,Europe
Israel,0.1,100.00%,Asia
Italy,0.2,100.00%,Europe
Jamaica,8.3,93.00%,North America
Japan,0.1,100.00%,Asia
Jersey,,,Europe
Jordan,0,99.40%,Asia
Kazakhstan,0.9,94.20%,Asia
Kenya,86.4,31.60%,Africa
Kingdom of Bavaria,,,Europe
Kingdom of Sardinia,,,Europe
Kingdom of Saxony,,,Europe
Kingdom of Wurttemberg,,,Europe
Kingdom of the Two Sicilies,,,Europe
Kiribati,94.8,16.40%,Oceania
Korea (former),,,Asia
Kosovo,,,Europe
Kuwait,0.1,100.00%,Asia
Kyrgyzstan,77.5,79.60%,Asia
Laos,204.7,11.10%,Asia
Latin America and Caribbean (WB),7.5,,
Latin America and the Caribbean (UN),,88.76%,
Latvia,2.7,100.00%,Europe
Lebanon,0.6,,Asia
Lesotho,144.9,53.80%,Africa
Liberia,182.9,0.80%,Africa
Libya,0.1,,Africa
Liechtenstein,,,Europe
Lithuania,0.9,100.00%,Europe
Low-income countries,146.9,,
Lower-middle-income countries,90.4,,
Luxembourg,0.1,100.00%,Europe
Macao,,,Asia
Madagascar,200.1,1.60%,Africa
Malawi,143.4,1.50%,Africa
Malaysia,0.2,83.80%,Asia
Maldives,1.1,99.80%,Asia
Mali,137.5,1.30%,Africa
Malta,0.2,100.00%,Europe
Marshall Islands,133.9,64.80%,Oceania
Martinique,,,North America
Mauritania,90.2,49.40%,Africa
Mauritius,0.3,99.10%,Africa
Mayotte,,,Africa
Mexico,4.5,85.10%,North America
Micronesia (country),138.7,13.30%,Oceania
Middle East and North Africa (WB),7.3,,
Moldova,14.8,98.30%,Europe
Monaco,0.1,100.00%,Europe
Mongolia,26.9,55.80%,Asia
Montenegro,16.7,61.40%,Europe
Montserrat,,,North America
Morocco,1.4,98.10%,Africa
Mozambique,122.9,7.40%,Africa
Myanmar,200.8,53.50%,Asia
Namibia,54.7,48.00%,Africa
Nauru,20.2,100.00%,Oceania
Nepal,122,42.70%,Asia
Netherlands,0.1,100.00%,Europe
Netherlands Antilles,,,North America
New Caledonia,,,Oceania
New Zealand,0,100.00%,Oceania
Nicaragua,65.5,59.60%,North America
Niger,187.7,5.10%,Africa
Nigeria,83.9,26.20%,Africa
Niue,6.8,98.50%,Oceania
Norfolk Island,,,Oceania
North America (WB),0.1,,
North Korea,194.3,14.50%,Asia
North Macedonia,7,81.30%,Europe
Northern Africa (UN),,93.29%,
Northern Africa and Western Asia (UN),,91.20%,
Northern America and Europe (UN),,99.43%,
Northern Mariana Islands,7.1,,Oceania
Norway,0,100.00%,Europe
Oceania (exc. Australia and New Zealand) (UN),,15.50%,
Oman,0.1,100.00%,Asia
Orange Free State,,,Africa
Pakistan,99.7,54.90%,Asia
Pakistan (former),,,Asia
Palau,2.5,100.00%,Oceania
Palestine,4.3,,Asia
Panama,0.5,100.00%,North America
Papua New Guinea,257,10.50%,Oceania
Paraguay,23.1,71.30%,South America
Peru,6.7,91.80%,South America
Philippines,76.9,59.50%,Asia
Pitcairn,,,Oceania
Poland,0.5,100.00%,Europe
Portugal,0.1,100.00%,Europe
Puerto Rico,0,,North America
Qatar,0,100.00%,Asia
Republic of Vietnam,,,Asia
Reunion,,,Africa
Romania,1.7,100.00%,Europe
Russia,0.4,100.00%,Europe
Rwanda,139,9.30%,Africa
Saint Barthelemy,,,North America
Saint Helena,,,Africa
Saint Kitts and Nevis,0.3,100.00%,North America
Saint Lucia,1.6,92.10%,North America
Saint Martin (French part),,,North America
Saint Pierre and Miquelon,,,North America
Saint Vincent and the Grenadines,2.4,89.50%,North America
Samoa,131.1,39.70%,Oceania
San Marino,0.1,100.00%,Europe
Sao Tome and Principe,82.8,4.60%,Africa
Saudi Arabia,0.1,100.00%,Asia
Senegal,120.2,34.80%,Africa
Serbia,14,83.10%,Europe
Serbia and Montenegro,,,Europe
Seychelles,0.1,100.00%,Africa
Sierra Leone,185.2,0.90%,Africa
Singapore,0.2,100.00%,Asia
Sint Maarten (Dutch part),,,North America
Slovakia,0.1,100.00%,Europe
Slovenia,0.6,100.00%,Europe
Solomon Islands,399.4,8.70%,Oceania
Somalia,107.5,5.40%,Africa
South Africa,9.6,89.80%,Africa
South Asia (WB),96.7,,
South Georgia and the South Sandwich Islands,,,South America
South Korea,0.1,100.00%,Asia
South Sudan,185.2,0.00%,Africa
South-East Asia (WHO),92.4,72.54%,
South-Eastern Asia (UN),,80.23%,
Southern Asia (UN),,68.94%,
Spain,0.1,100.00%,Europe
Sri Lanka,36.5,35.40%,Asia
Sub-Saharan Africa (UN),,21.12%,
Sub-Saharan Africa (WB),108.5,,
Sudan,101.9,70.55%,Africa
Sudan (former),,,Africa
Suriname,3.4,95.70%,South America
Sweden,0,100.00%,Europe
Switzerland,0,100.00%,Europe
Syria,0.6,88.80%,Asia
Taiwan,2.8,,Asia
Tajikistan,119.1,87.90%,Asia
Tanzania,107.5,9.80%,Africa
Thailand,2.1,86.80%,Asia
Togo,141.9,13.20%,Africa
Tokelau,1.6,,Oceania
Tonga,102.8,90.10%,Oceania
Trinidad and Tobago,0,100.00%,North America
Tunisia,0.4,99.90%,Africa
Turkey,0.1,95.30%,Asia
Turkmenistan,0,99.80%,Asia
Turks and Caicos Islands,,,North America
Tuvalu,46.9,77.00%,Oceania
USSR,,,Europe
Uganda,102.4,1.80%,Africa
Ukraine,4.1,94.90%,Europe
United Arab Emirates,0,100.00%,Asia
United Kingdom,0.1,100.00%,Europe
United States,0.1,100.00%,North America
United States Virgin Islands,0.1,,North America
Upper-middle-income countries,8.9,,
Uruguay,0.3,100.00%,South America
Uzbekistan,25.1,78.10%,Asia
Vanuatu,224,20.60%,Oceania
Vatican,,,Europe
Venezuela,2.5,93.50%,South America
Vietnam,33.9,98.70%,Asia
Wallis and Futuna,,,Oceania
West Germany,,,Europe
Western Asia (UN),,89.61%,
Western Pacific (WHO),13.2,87.26%,
Western Sahara,,,Africa
World,33.3,74.12%,
Yemen,160.9,47.30%,Asia
Yemen Arab Republic,,,Asia
Yemen People's Republic,,,Asia
Yugoslavia,,,Europe
Zambia,145.7,9.20%,Africa
Zimbabwe,102.3,30.70%,Africa
